"from","to","similVal"
"LA_4","TLB_Sav_1",0.309575356925855
"LA_5","TLB_1",0.2596564701828
"LA_5","TLB_31",0.297201226507268
"LA_5","TLB_5",0.263460099003709
"LA_5","TLB_9",0.214855341563339
"LA_5","TLB_Sav_4",0.483387398674334
"LA_5","TLE_4",0.283399087370796
"LA_5","TLP_11",0.421146540048784
"LA_5","TLQ_8",0.483547659872736
"LA_6","TLB_4",0.254068275460937
"LA_6","TLB_Sav_6",0.24840898967938
"LA_8","LFM_1",0.282628193815502
"LA_8","TL_IRT_1",0.253079602461925
"LA_8","TL_IRT_4",0.236342571677232
"LA_8","TLIE_4",0.36050911843124
"LA_8","TLIE_5",0.341556444025223
"LA_8","TLIE_6",0.318484290042802
"LA_8","TLTM_1",0.387177818519386
"LA_9","LO_2",0.245903924495467
"LA_9","TLB_18",0.273850762616456
"LA_9","TLB_Sav_1",0.228430979090719
"LA_9","TLB_Sav_7",0.304302767802067
"LFF_1","LFF_3",0.236796585399097
"LFF_1","TLFS_4",0.224991884285185
"LFF_2","LFF_3",0.302768704341445
"LFF_2","LFM_5",0.293814453213072
"LFF_2","TLB_16",0.259994473343098
"LFF_2","TLB_Sav_12",0.253526906976494
"LFF_2","TLQ_10",0.20655388314036
"LFF_2","TLQ_3",0.211308161531091
"LFF_3","LFM_5",0.35588733044609
"LFF_3","TLB_Sav_12",0.277061316044471
"LFF_3","TLQ_10",0.250191606506122
"LFF_3","TLQ_3",0.222412146118354
"LFF_4","LFF_5",0.226893342863013
"LFF_4","SKD_3",0.200161878410878
"LFF_4","TLB_22",0.201786091238447
"LFF_4","TLB_Sav_5",0.20064052544491
"LFF_5","TLB_Sav_5",0.239885748420513
"LFF_5","TLQ_12",0.237000308580604
"LFF_5","TLQ_7",0.205647678612623
"LFM_1","LFM_3",0.342745937610909
"LFM_1","LFM_5",0.261181010703806
"LFM_1","TLB_Sav_12",0.239488965233085
"LFM_1","TLB_Sav_19",0.232446580083427
"LFM_1","TLB_Sav_9",0.340342512691235
"LFM_1","TLTM_1",0.405407272081957
"LFM_2","LFM_5",0.217924531798251
"LFM_3","LFM_5",0.303616054528968
"LFM_3","LFM_7",0.259408943628157
"LFM_3","TLB_18",0.229184084369638
"LFM_3","TLB_Sav_12",0.22683720773971
"LFM_3","TLB_Sav_19",0.300978239352714
"LFM_3","TLQ_4",0.200270973983419
"LFM_3","TLQ_8",0.293987336172619
"LFM_4","LFM_5",0.468260892362178
"LFM_4","LO_1",0.258238384737036
"LFM_4","LO_3",0.222553967081569
"LFM_4","TLB_Sav_12",0.256675092947355
"LFM_4","TLE_8",0.202849989285765
"LFM_4","TLFS_2",0.228907437283312
"LFM_4","TLP_14",0.21728493542355
"LFM_4","TLQ_1",0.230642745399671
"LFM_4","TLQ_10",0.329191108818723
"LFM_5","LFM_6",0.248916668019802
"LFM_5","LFM_7",0.260109399885139
"LFM_5","TLB_13",0.255437276296037
